customerId,customerName,enqueueTime,ticketingTime,startStation,endStation,operatingTime,
1,customer2001,0,2,Seoul,Chuncheon,
2,customer2002,0,1,Chuncheon,Wonju,
3,customer2003,0,3,Wonju,Gwangju,
4,customer2004,0,5,Gyeongju,Wonju,
5,customer2005,0,1,Chuncheon,Daejeon,
6,customer2006,1,10,Asan,Daejeon,
7,customer2007,1,1,Seoul,Gyeongju,
8,customer2008,1,2,Gwangju,Chuncheon,
9,customer2009,3,1,Daejeon,Seoul,
10,customer2010,3,3,Gwangju,Asan,
11,customer2011,5,6,Chuncheon,Gwangju,
12,customer2012,5,2,Asan,Wonju,
13,customer2013,7,3,Chuncheon,Daejeon,
14,customer2014,7,1,Asan,Daejeon,
15,customer2015,7,1,Seoul,Wonju,
16,customer2016,7,2,Daejeon,Gyeongju,
17,customer2017,7,8,Seoul,Gyeongju,
18,customer2018,10,1,Asan,Gwangju,
19,customer2019,10,1,Daejeon,Seoul,
20,customer2020,10,5,Asan,Gyeongju,
21,customer2021,13,1,Daejeon,Seoul,
22,customer2022,15,3,Seoul,Wonju,
23,customer2023,15,1,Gyeongju,Asan,
24,customer2024,15,2,Wonju,Daejeon,
25,customer2025,19,3,Chuncheon,Gyeongju,
26,customer2026,19,3,Gyeongju,Asan,
27,customer2027,19,1,Wonju,Gwangju,
28,customer2028,19,1,Daejeon,Chuncheon,
29,customer2029,19,7,Seoul,Chuncheon,
30,customer2030,20,2,Daejeon,Gyeongju,
31,customer2031,22,3,Asan,Gyeongju,
32,customer2032,22,2,Chuncheon,Seoul,
33,customer2033,25,1,Asan,Daejeon,
34,customer2034,25,1,Wonju,Gyeongju,
35,customer2035,25,2,Seoul,Gwangju,
36,customer2036,25,2,Chuncheon,Asan,
37,customer2037,25,3,Gwangju,Wonju,
38,customer2038,28,1,Chuncheon,Daejeon,
39,customer2039,29,4,Daejeon,Wonju,
40,customer2040,30,1,Asan,Seoul,
41,customer2041,35,2,Chuncheon,Seoul,
42,customer2042,35,9,Wonju,Gyeongju,
43,customer2043,35,2,Daejeon,Gwangju,
44,customer2044,35,2,Wonju,Seoul,
45,customer2045,35,3,Asan,Wonju,
46,customer2046,37,2,Chuncheon,Gwangju,
47,customer2047,40,1,Daejeon,Wonju,
48,customer2048,41,3,Wonju,Asan,
49,customer2049,42,1,Chuncheon,Gyeongju,
50,customer2050,42,5,Seoul,Gwangju,
,,,133,,,
